0,87665597897,0,0
-186383.6871,87663450473,3.416663991,-2.45086E+17
384794.6913,87785773336,-7.061350541,5.06692E+17
-620231.5067,88031868893,11.40210309,-8.19002E+17
914173.9075,88400346637,-16.84740542,1.2122E+18
-1280554.519,88889156904,23.67368149,-1.70741E+18
1718725.206,89495639358,-31.89448549,2.30728E+18
-2202236.192,90216583646,41.04665937,-2.98017E+18
2663835.584,91048299177,-49.8968646,3.63807E+18
-2981486.195,91986690804,56.15394998,-4.11386E+18
2978291.036,93027337174,-56.42971325,4.15594E+18
-2458892.437,94165568815,46.88849858,-3.47315E+18
1306646.558,95396543368,-25.0867938,1.86974E+18
359679.2719,96715315937,-6.955339126,5.21797E+17
-2042551.317,98116903025,39.79507543,-3.00613E+18
2907599.318,99596339086,-57.0905985,4.34379E+18
-2202137.459,1.01149E+11,43.58648524,-3.34115E+18
2304.947063,1.02769E+11,-0.045997467,3.55317E+15
2290703.083,1.04453E+11,-46.09787525,3.58907E+18
-2630842.355,1.06196E+11,53.39569629,-4.19079E+18
342604.8755,1.07994E+11,-7.013779389,5.5499E+17
2368239.017,1.09843E+11,-48.9066327,3.902E+18
-2165107.48,1.11738E+11,45.10572475,-3.62886E+18
-988844.8962,1.13676E+11,20.7829621,-1.68612E+18
2675298.174,1.15654E+11,-56.72667837,4.64112E+18
-74872.27775,1.17668E+11,1.60167192,-1.32151E+17
-2629621.032,1.19715E+11,56.75158172,-4.72208E+18
499504.379,1.21793E+11,-10.87540831,9.1254E+17
2562085.852,1.23898E+11,-56.2737091,4.76157E+18
-347049.3123,1.26029E+11,7.689327601,-6.56074E+17
-2562577.199,1.28182E+11,57.27107693,-4.92716E+18
-315747.6097,1.30357E+11,7.117578952,-6.17398E+17
2388099.214,1.3255E+11,-54.29354742,4.74814E+18
1349647.983,1.3476E+11,-30.94478076,2.72818E+18
-1618963.79,1.36985E+11,37.43178143,-3.32661E+18
-2280034.937,1.39224E+11,53.15511652,-4.76154E+18
33310.77668,1.41475E+11,-0.782980479,7.06897E+16
2233615.721,1.43737E+11,-52.9295907,4.8158E+18
1779086.41,1.46008E+11,-42.49829104,3.89642E+18
-606644.9778,1.48288E+11,14.60673581,-1.34937E+18
-2286013.01,1.50575E+11,55.47543848,-5.16326E+18
-1672530.323,1.52869E+11,40.90331972,-3.83516E+18
468745.2916,1.55167E+11,-11.55161899,1.09101E+18
2126302.34,1.57471E+11,-52.79723358,5.02246E+18
1962056.555,1.59778E+11,-49.08364233,4.7024E+18
260120.6517,1.62088E+11,-6.555385914,6.32436E+17
-1577276.093,1.644E+11,40.03949724,-3.88957E+18
-2235927.475,1.66715E+11,57.16835223,-5.59143E+18
-1371253.24,1.6903E+11,35.30958903,-3.47675E+18
337597.7606,1.71346E+11,-8.754109365,8.67692E+17
1783625.312,1.73663E+11,-46.57086323,4.64623E+18
2154081.462,1.75979E+11,-56.6281482,5.68608E+18
1333253.687,1.78294E+11,-35.28616407,3.56567E+18
-154046.5025,1.80608E+11,4.104188524,-4.17331E+17
-1515049.016,1.82921E+11,40.6301935,-4.15702E+18
-2115249.726,1.85233E+11,57.09447978,-5.8772E+18
-1743621.892,1.87542E+11,47.36517596,-4.90503E+18
-635949.3149,1.89849E+11,17.38474842,-1.81101E+18
695921.5369,1.92153E+11,-19.14302386,2.00585E+18
1712571.166,1.94455E+11,-47.3989959,4.99526E+18
2057114.544,1.96753E+11,-57.28167806,6.07116E+18
1656690.911,1.99049E+11,-46.40903975,4.94643E+18
703753.6841,2.01341E+11,-19.83139652,2.12541E+18
-448968.1084,2.03629E+11,12.72588264,-1.37135E+18
-1425597.899,2.05914E+11,40.64228707,-4.40326E+18
-1945677.342,2.08195E+11,55.7866179,-6.07621E+18
-1892230.186,2.10472E+11,54.5608739,-5.97393E+18
-1320539.686,2.12745E+11,38.28930961,-4.21408E+18
-418049.5115,2.15014E+11,12.18831498,-1.3483E+18
563324.7525,2.17279E+11,-16.51339414,1.83598E+18
1379113.05,2.19539E+11,-40.64537882,4.54154E+18
1849682.64,2.21795E+11,-54.80435689,6.15375E+18
1892423.504,2.24046E+11,-56.3658472,6.35986E+18
1526534.274,2.26293E+11,-45.70438811,5.18166E+18
854950.9341,2.28535E+11,-25.72885494,2.9308E+18
31894.62933,2.30773E+11,-0.964716129,1.10406E+17
-774418.6684,2.33006E+11,23.54158895,-2.70666E+18
-1415569.766,2.35234E+11,43.24590125,-4.99484E+18
-1787471.046,2.37457E+11,54.87601956,-6.36671E+18
-1842931.143,2.39675E+11,56.8537685,-6.62557E+18
-1592324.587,2.41889E+11,49.35889169,-5.77748E+18
-1094520.723,2.44097E+11,34.08936876,-4.00755E+18
-441413.4716,2.46301E+11,13.81273467,-1.63081E+18
260277.0905,2.485E+11,-8.182528016,9.70184E+17
906613.3399,2.50694E+11,-28.63320042,3.40924E+18
1410936.134,2.52883E+11,-44.76416916,5.35203E+18
1713719.151,2.55067E+11,-54.61573029,6.5567E+18
1787239.395,2.57246E+11,-57.21312396,6.89641E+18
1635356.283,2.59421E+11,-52.58240399,6.36368E+18
1289292.3,2.6159E+11,-41.63659498,5.05899E+18
800650.3143,2.63754E+11,-25.96829594,3.16762E+18
233004.9516,2.65914E+11,-7.58968614,9.29388E+17
-346685.292,2.68068E+11,11.34054296,-1.39403E+18
-875822.8822,2.70217E+11,28.7697761,-3.54994E+18
-1302347.774,2.72362E+11,42.95871171,-5.32065E+18
-1588936.647,2.74502E+11,52.62808554,-6.54249E+18
-1715109.543,2.76636E+11,57.03907889,-7.11693E+18
